sep=,
Well,Depth,Clay,Quartz,Carbonates,TOC,Formation,Sonic,GammaRay,NeutronPorosity,Resistivity,Density,Photoelectric,AvgPorosity,RHOMAA,UMA,GR_Dens,PEF_Dens
Coyote-1,7200,48.67599569,49.52637244,1.797631862,2.672507,El Salto,80.00674,61.79465,0.2456,21.25296,2.59795,5.7005,0.20071135,2.999215177,18.40293654,23.78592737,2.194230066
Coyote-1,7214.5,28.39283822,57.01875199,14.58840979,3.218767,El Salto,74.89855,109.4831,0.254299998,36.39704,2.46675,8.7508,0.226427399,2.896072842,27.75799217,44.3835411,3.547501774
Coyote-1,7215,82.68916712,16.54872074,0.762112139,3.976217,El Salto,75.9357,106.2191,0.256149992,42.38375,2.47125,8.9295,0.227160646,2.903694465,28.40622238,42.98193222,3.613353566
Coyote-1,7232,82.1957815,17.57706869,0.227149811,8.061749,El Salto,76.33705,115.0536,0.287900001,184.6135,2.37395,7.7611,0.26564825,2.870969873,24.90855265,48.46504771,3.269276943
Coyote-1,7240,39.6569236,43.13282925,17.21024715,4.956246,El Salto,77.6447,117.6432,0.184900001,51.75293,2.35775,7.9863,0.1914558,2.679252662,23.17000225,49.89638426,3.387254798
Coyote-1,7260,6.10073571,70.1188455,23.78041879,4.88931,El Salto,77.4682,83.95175,0.161400005,46.46755,2.35635,5.0369,0.175427803,2.644913574,14.28739103,35.62787786,2.137585673
Coyote-1,7280,17.84378673,64.29105674,17.86515653,3.751335,El Salto,81.25101,154.5667,0.223800004,26.34365,2.50805,7.615,0.197428252,2.879022035,23.67400381,61.62823708,3.036223361
Coyote-1,7296,38.84784238,45.36888318,15.78327444,3.097659,El Salto,81.60735,179.1528,0.246700004,23.93122,2.3166,6.4296,0.242625602,2.73837405,19.50620274,77.33436933,2.775446775
Coyote-1,7319.5,41.0960622,46.51366943,12.39026837,2.772307,El Salto,77.821,389.9048,0.207199998,20.72371,2.52595,6.1648,0.182380949,2.866333714,18.93398407,154.3596667,2.44058671
Coyote-1,7340,4.27092321,19.20836928,76.52070751,3.529538,El Salto,79.8881,209.4276,0.240450002,29.75278,2.38745,5.7735,0.227626601,2.796346174,17.6988608,87.72020356,2.41827054
Coyote-1,7360,26.77910773,45.64744287,27.5734494,3.06479,El Salto,72.629,592.3293,0.206049994,35.26843,2.6071,5.6214,0.154903497,2.90167631,17.25021952,227.1985348,2.156188869
Coyote-1,7440,16.986184,50.03748527,32.97633073,1.246808,El Salto,95.6616,123.9178,0.362450004,5.632298,2.49105,5.6908,0.290613752,3.101887376,19.77873197,49.74520784,2.284498505
Coyote-1,7472,73.41855129,25.3468808,1.234567901,0.5939727,Simiti,80.2014,101.7981,0.2535,9.43789,2.4844,5.7649,0.208225,2.87477503,17.95738064,40.97492352,2.320439543
Coyote-1,7792.5,43.88773161,44.72097358,11.39129481,0.4351028,Simiti,86.64771,128.9393,0.276599988,6.396002,2.54125,8.1323,0.217252494,2.969025757,26.26336204,50.73853419,3.200118052
Coyote-1,7850,48.1554032,40.02611818,11.81847862,0.3541919,Simiti,95.17465,148.3833,0.4252,4.244987,2.47465,9.2689,0.34359625,3.246559378,34.68213773,59.96132786,3.745539773
Coyote-1,8000,74.49115044,24.66814159,0.840707965,0.01189948,Simiti,76.61955,121.1386,0.271149993,9.690294,2.4605,10.2519,0.225216746,2.885043325,32.41189257,49.23332656,4.166592156
Coyote-1,9452.24,82.63700488,13.81443299,3.548562127,2.552525,Tablazo,91.8056,147.8617,0.40745,9.10969,2.35215,9.5446,0.3636075,3.124710772,34.99181266,62.86235997,4.057819442
Coyote-1,9454,74.22208014,24.45652174,1.321398124,2.986709,Tablazo,94.0452,150.2213,0.38905,9.626073,2.3815,9.0624,0.34387285,3.105537014,32.63112824,63.07843796,3.805332773
Coyote-1,9462.1,80.86067778,18.18181818,0.957504034,3.332776,Tablazo,94.7248,131.5728,0.3919,12.75126,2.3713,9.4755,0.34778105,3.102514807,34.18386207,55.48551427,3.995909417
Coyote-1,9471,69.81192563,27.09980765,3.088266724,3.64772,Tablazo,99.0163,140.0663,0.3863,10.63513,2.3815,9.496,0.3416877,3.09854806,34.0930591,58.81431871,3.987402897
Coyote-1,9481.1,72.00468185,25.45222388,2.543094275,3.225365,Tablazo,95.18555,194.2172,0.39885,14.40654,2.3941,7.8717,0.34991875,3.144501168,28.72052931,81.12326135,3.287957896
